instance_id,resolved,has_error,outcome_status,final_test_state,alignment_score,accidental_pass_risk,num_missing_requirements,num_extra_behaviors,failure_class,failure_inferability,failure_reason_code,failure_stage,spec_alignment,repo_exploration,root_cause_quality,patch_correctness,validation_rigor,iteration_efficiency,num_secondary_failures
django__django-13670,True,False,true_pass,all_green,4,low,0,0,none,na,NONE,finalization,4,4,4,4,4,3,1
django__django-14434,False,False,true_pass,some_fail,4,low,0,0,none,na,NONE,finalization,4,4,4,4,4,4,0
scikit-learn__scikit-learn-13439,True,False,true_pass,all_green,4,low,0,0,none,na,NONE,finalization,4,4,4,4,4,4,0
django__django-12155,True,False,wrong_fix,some_fail,2,low,2,0,internal,inferable_from_golden,INT_IMPL_LOGIC_BUG,implementation,2,3,2,2,4,1,2
django__django-13279,True,False,true_pass,all_green,4,low,0,0,none,na,NONE,finalization,4,4,4,4,4,4,0
sphinx-doc__sphinx-7757,False,False,wrong_fix,some_fail,2,low,2,2,internal,inferable_from_golden,INT_IMPL_LOGIC_BUG,implementation,2,3,2,2,2,2,2
scikit-learn__scikit-learn-25232,True,False,true_pass,all_green,4,low,0,0,none,na,NONE,finalization,4,4,4,4,4,4,0
sympy__sympy-15599,False,False,true_pass,all_green,4,low,0,0,none,na,NONE,finalization,4,4,4,4,4,4,0
scikit-learn__scikit-learn-25973,True,False,true_pass,all_green,4,low,0,0,none,na,NONE,finalization,4,4,4,4,4,4,0
django__django-11999,True,False,wrong_fix,some_fail,1,low,2,1,internal,inferable_from_golden,INT_IMPL_LOGIC_BUG,implementation,1,3,1,1,4,2,2
