instance_id,resolved,has_error,error_type,outcome_status,final_test_state,alignment_score,accidental_pass_risk,num_missing_requirements,num_extra_behaviors,failure_class,failure_inferability,failure_reason_code,failure_stage,spec_alignment,repo_exploration,root_cause_quality,patch_correctness,validation_rigor,iteration_efficiency
astropy__astropy-14309,False,False,,true_pass,all_green,4.0,low,0.0,0.0,none,na,NONE,finalization,4.0,4.0,4.0,4.0,4.0,4.0
astropy__astropy-14995,False,False,,true_pass,not_run,4.0,low,0.0,0.0,none,na,NONE,finalization,4.0,4.0,4.0,4.0,3.0,4.0
astropy__astropy-7606,False,False,,true_pass,all_green,4.0,low,0.0,0.0,none,na,NONE,finalization,4.0,4.0,4.0,4.0,4.0,4.0
django__django-11333,False,False,,true_pass,all_green,4.0,low,0.0,0.0,none,na,NONE,finalization,4.0,4.0,4.0,4.0,4.0,4.0
django__django-12276,False,False,,true_pass,not_run,4.0,low,0.0,0.0,none,na,NONE,finalization,4.0,4.0,4.0,4.0,3.0,4.0
django__django-12304,False,False,,true_pass,all_green,4.0,low,0.0,0.0,none,na,NONE,finalization,4.0,4.0,4.0,4.0,4.0,3.0
django__django-12406,False,False,,true_pass,all_green,4.0,low,0.0,0.0,none,na,NONE,finalization,4.0,4.0,4.0,4.0,4.0,4.0
django__django-13023,False,False,,true_pass,all_green,4.0,low,0.0,0.0,none,na,NONE,finalization,4.0,4.0,4.0,4.0,4.0,4.0
django__django-14311,False,False,,true_pass,all_green,4.0,low,0.0,0.0,none,na,NONE,finalization,4.0,4.0,4.0,4.0,4.0,4.0
django__django-14404,False,False,,true_pass,all_green,4.0,low,0.0,0.0,none,na,NONE,finalization,4.0,4.0,4.0,4.0,4.0,4.0
django__django-14434,False,False,,true_pass,some_fail,4.0,low,0.0,0.0,none,na,NONE,finalization,4.0,4.0,4.0,4.0,4.0,4.0
django__django-15128,False,False,,true_pass,all_green,4.0,low,0.0,0.0,none,na,NONE,finalization,4.0,4.0,4.0,4.0,4.0,3.0
django__django-15252,False,False,,true_pass,all_green,4.0,low,0.0,0.0,none,na,NONE,finalization,4.0,4.0,4.0,4.0,4.0,4.0
django__django-15732,False,False,,true_pass,all_green,4.0,low,0.0,0.0,none,na,NONE,finalization,4.0,4.0,4.0,4.0,4.0,4.0
matplotlib__matplotlib-22871,False,False,,true_pass,all_green,4.0,low,0.0,0.0,none,na,NONE,finalization,4.0,4.0,4.0,4.0,4.0,4.0
matplotlib__matplotlib-25311,False,False,,true_pass,all_green,4.0,low,0.0,0.0,none,na,NONE,finalization,4.0,4.0,4.0,4.0,4.0,4.0
psf__requests-1142,False,False,,true_pass,all_green,4.0,low,0.0,0.0,none,na,NONE,none,4.0,4.0,4.0,4.0,4.0,4.0
pydata__xarray-6992,False,False,,true_pass,all_green,4.0,low,0.0,0.0,none,na,NONE,finalization,4.0,4.0,4.0,4.0,4.0,4.0
pylint-dev__pylint-4604,False,False,,true_pass,all_green,4.0,low,0.0,0.0,none,na,NONE,finalization,4.0,4.0,4.0,4.0,4.0,4.0
scikit-learn__scikit-learn-14983,False,False,,true_pass,all_green,4.0,low,0.0,0.0,none,na,NONE,finalization,4.0,4.0,4.0,4.0,4.0,4.0
sphinx-doc__sphinx-10466,False,False,,true_pass,all_green,4.0,low,0.0,0.0,none,na,NONE,finalization,4.0,4.0,4.0,4.0,4.0,4.0
sphinx-doc__sphinx-11510,False,False,,true_pass,all_green,4.0,low,0.0,0.0,none,na,NONE,finalization,4.0,4.0,4.0,4.0,4.0,4.0
sphinx-doc__sphinx-8551,False,False,,true_pass,all_green,4.0,low,0.0,0.0,none,na,NONE,finalization,4.0,4.0,4.0,4.0,4.0,4.0
sphinx-doc__sphinx-8595,False,False,,true_pass,some_fail,4.0,low,0.0,0.0,none,na,NONE,finalization,4.0,4.0,4.0,4.0,4.0,4.0
sphinx-doc__sphinx-8621,False,False,,true_pass,not_run,4.0,low,0.0,0.0,internal,inferable_from_golden,INT_IMPL_LOGIC_BUG,implementation,4.0,4.0,4.0,4.0,3.0,3.0
sphinx-doc__sphinx-8638,False,False,,true_pass,all_green,4.0,low,0.0,0.0,none,na,NONE,finalization,4.0,4.0,4.0,4.0,4.0,4.0
sphinx-doc__sphinx-9281,False,False,,true_pass,all_green,4.0,low,0.0,0.0,none,na,NONE,finalization,4.0,4.0,4.0,4.0,4.0,4.0
sympy__sympy-13091,False,False,,true_pass,all_green,4.0,low,0.0,0.0,none,na,NONE,finalization,4.0,4.0,4.0,4.0,4.0,4.0
sympy__sympy-13877,False,False,,true_pass,all_green,4.0,low,0.0,0.0,none,na,NONE,finalization,4.0,4.0,4.0,4.0,4.0,4.0
sympy__sympy-15599,False,False,,true_pass,all_green,4.0,low,0.0,0.0,none,na,NONE,finalization,4.0,4.0,4.0,4.0,4.0,4.0
sympy__sympy-16597,False,False,,true_pass,all_green,4.0,low,0.0,0.0,none,na,NONE,finalization,4.0,4.0,4.0,4.0,4.0,4.0
sympy__sympy-18211,False,False,,true_pass,all_green,4.0,low,0.0,0.0,none,na,NONE,finalization,4.0,4.0,4.0,4.0,4.0,4.0
sympy__sympy-20428,False,False,,true_pass,all_green,4.0,low,0.0,0.0,none,na,NONE,finalization,4.0,4.0,4.0,4.0,4.0,4.0
sympy__sympy-22080,False,False,,true_pass,all_green,4.0,low,0.0,0.0,none,na,NONE,finalization,4.0,4.0,4.0,4.0,4.0,4.0
